UID,Status,Group,Title,Price,Qty,Title_Issue
426574,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 04W3261 TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Lenovo 04W3261 TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426575,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer KL.15605.001 TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Acer KL.15605.001 TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426577,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Fujitsu CP467550-XX TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Fujitsu CP467550-XX TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426578,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP156WH2(TL)(C1) TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"LG LP156WH2 (TL)(C1) TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426580,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 18003983 TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Lenovo 18003983 TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426581,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 18200114 TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Lenovo 18200114 TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426582,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 04W0424 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Lenovo 04W0424 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426584,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 0A66613 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Lenovo 0A66613 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426585,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","AU Optronics B156XTN02.1 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"AU Optronics B156XTN02.1 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426587,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","AU Optronics B156XW02 V.0 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"AU Optronics B156XW02 V.0 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426588,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Samsung BA59-03306A TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Samsung BA59-03306A TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426589,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Chungwa CLAA156WB11A TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Chungwa CLAA156WB11A TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426591,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP156WH2(TL)(BA) TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"LG LP156WH2 (TL)(BA) TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426592,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP156WH4(TL)(A1) TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"LG LP156WH4 (TL)(A1) TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426593,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP156WH4-TLD1 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"LG LP156WH4-TLD1 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426595,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Samsung LTN156AT27 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Samsung LTN156AT27 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
