UID,Status,Group,Title,Price,Qty,Title_Issue
438589,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C771T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",109.99,,"Acer 11 C771T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor"
438590,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C738T Chromebook LCD Touch Screen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor",99.99,,"Acer 11 C738T Chromebook LCD Touchscreen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor"
438591,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C771 Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C771 Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
,"Dup title",,"Acer 11 CB311 Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",109.99,,"Line 20"
438592,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer CB5-132T Chromebook LCD Touch Screen Digitizer Module Black Replacement Laptop LCD LED Screen Display Monitor",99.99,,"Acer 11 CB5-132T Chromebook LCD Touchscreen Digitizer Module, Black Replacement Laptop LCD LED Screen Display Monitor"
438593,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer CB311-9H Chromebook LCD Panel New Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 CB311-9H Chromebook LCD Panel - New Replacement Laptop LCD LED Screen Display Monitor"
438594,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C740 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",72.99,,"Acer 11 C740 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor"
438595,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer Tab 10 Tablet Chromebook LCD Touch Screen Digitizer Module With LCD Cable Replacement Laptop LCD LED Screen Display Monitor",249.99,,"Acer Tab 10 Tablet Chromebook LCD Touchscreen Digitizer Module (With LCD Cable) Replacement Laptop LCD LED Screen Display Monitor"
438596,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C721-61PJ Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C721-61PJ Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Acer 11 C732T Chromebook LCD Touch Panel, Glossy - PULL Replacement Laptop LCD LED Screen Display Monitor",50,,Pull
438597,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer R752T Chromebook LCD Touch Screen Module Replacement Laptop LCD LED Screen Display Monitor",103.99,,"Acer 11 R752T Chromebook LCD Touchscreen Module Replacement Laptop LCD LED Screen Display Monitor"
,"Dup title",,"Acer 11 C731T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",84.99,,"Line 17"
,"Dup title",,"Acer 11 C731 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor",50,,"Line 18"
,"Dup title",,"Acer 11 C740 Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",89.99,,"Line 19"
,"Dup title",,"Acer 11 CB311 Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",84.99,,"Line 20"
,"Dup title",,"Acer 11 CB3-111 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor",50,,"Line 21"
,"Dup title",,"Acer 15 CB3-532 Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",109.99,,"Line 22"
,"Dup title",,"Acer 712 C871 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",72.99,,"Line 23"
,"Dup title",,"Acer 11 CB3-131 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor",50,,"Line 24"
438598,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C731T Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",149.99,,"Acer 11 C731T Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
438599,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C720 Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C720 Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
438600,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer CB311 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 CB311 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
438601,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C730E Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",89.99,,"Acer 11 C730E Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
438602,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C731 Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C731 Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
438603,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C732 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C732 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
438604,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer R751T Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",199.99,,"Acer 11 R751T Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
438605,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer CB3-111 Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 CB3-111 Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
438606,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 311 C733 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 311 C733 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
