Adder WS (addw3),"15.6"" 1920x1080@144Hz LCD",BOE NV156FHM-N4K,"System76 Adder WS BOE NV156FHM-N4K 15.6"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Adder WS (addw3),"17.3"" 1920x1080@144Hz LCD",BOE NV173FHM-N4C,"System76 Adder WS BOE NV173FHM-N4C 17.3"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Adder WS (addw3),"17.3"" 1920x1080@144Hz LCD",BOE NE173FHM-NX1,"System76 Adder WS BOE NE173FHM-NX1 17.3"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Adder WS (addw3),"17.3"" 1920x1080@144Hz LCD",BOE NV173FHM-NY2,"System76 Adder WS BOE NV173FHM-NY2 17.3"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Bonobo WS (bonw15),"17.3"" 3840x2160@144Hz LCD",BOE NE173QUM-NY1,"System76 Bonobo WS BOE NE173QUM-NY1 17.3"" 3840x2160@144Hz Replacement Laptop LCD Panel"
Bonobo WS (bonw15),"17.3"" 2560x1440@240Hz LCD",BOE NE173QHM-NZ1,"System76 Bonobo WS BOE NE173QHM-NZ1 17.3"" 2560x1440@240Hz Replacement Laptop LCD Panel"
Darter Pro (darp9),"15.6"" 1920x1080@60Hz LCD",Innolux N156HCA-E5B,"System76 Darter Pro Innolux N156HCA-E5B 15.6"" 1920x1080@60Hz Replacement Laptop LCD Panel"
Darter Pro (darp9),"15.6"" 1920x1080@60Hz LCD",BOE NV156FHM-N4M,"System76 Darter Pro BOE NV156FHM-N4M 15.6"" 1920x1080@60Hz Replacement Laptop LCD Panel"
Darter Pro (darp9),"15.6"" 1920x1080@60Hz LCD",BOE NV156FHM-N4V,"System76 Darter Pro BOE NV156FHM-N4V 15.6"" 1920x1080@60Hz Replacement Laptop LCD Panel"
Darter Pro (darp9),"15.6"" 1920x1080@60Hz LCD",BOE NV156FHM-N63,"System76 Darter Pro BOE NV156FHM-N63 15.6"" 1920x1080@60Hz Replacement Laptop LCD Panel"
Galago Pro (galp7),"14.1"" 1920x1080@144Hz LCD",Sharp LQ140M1JW49,"System76 Galago Pro Sharp LQ140M1JW49 14.1"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"17.3"" 1920x1080@144Hz LCD",BOE NV173FHM-N4C,"System76 Gazelle BOE NV173FHM-N4C 17.3"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"17.3"" 1920x1080@144Hz LCD",BOE NE173FHM-NX1,"System76 Gazelle BOE NE173FHM-NX1 17.3"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"17.3"" 1920x1080@144Hz LCD",BOE NV173FHM-NY2,"System76 Gazelle BOE NV173FHM-NY2 17.3"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"17.3"" 1920x1080@144Hz LCD",BOE NE173QHM-NY3,"System76 Gazelle BOE NE173QHM-NY3 17.3"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"15.6"" 1920x1080@144Hz LCD",BOE NV156FHM-N4K,"System76 Gazelle BOE NV156FHM-N4K 15.6"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"15.6"" 1920x1080@144Hz LCD",BOE NV156FHM-NX4,"System76 Gazelle BOE NV156FHM-NX4 15.6"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"15.6"" 1920x1080@144Hz LCD",BOE NE156QHM-NY5,"System76 Gazelle BOE NE156QHM-NY5 15.6"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Gazelle (gaze18),"15.6"" 1920x1080@144Hz LCD",Innolux N156HCE-EN1,"System76 Gazelle Innolux N156HCE-EN1 15.6"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Kudu (kudu6),"15.6"" 1920x1080@144Hz LCD",AUO B156HAN08.4,"System76 Kudu AUO B156HAN08.4 15.6"" 1920x1080@144Hz Replacement Laptop LCD Panel"
Lemur Pro (lemp13),"14.0"" 1920x1200@60Hz LCD",Tianma TM140VDHP21,"System76 Lemur Pro Tianma TM140VDHP21 14.0"" 1920x1200@60Hz Replacement Laptop LCD Panel"
Lemur Pro (lemp13),"14.0"" 1920x1200@60Hz LCD",BOE NE140WUM-N6F,"System76 Lemur Pro BOE NE140WUM-N6F 14.0"" 1920x1200@60Hz Replacement Laptop LCD Panel"
Oryx Pro (oryp11),"16"" 1920x1200@165Hz LCD",BOE NV160WUM-NX2,"System76 Oryx Pro BOE NV160WUM-NX2 16"" 1920x1200@165Hz Replacement Laptop LCD Panel"
